Name,Street Address,City,Postcode,State/Province,Country,URL,Type
Aberdeen,17 Gallowgate,Aberdeen,AB25 1EB,,UK,https://www.brewdog.com/usa/bars/uk/aberdeen,
Birmingham,81 John Bright Street,Birmingham,B1 1BL,,UK,https://www.brewdog.com/usa/bars/uk/birmingham,
Brighton,52 Grand Parade,Brighton,BN2 9QA,,UK,https://www.brewdog.com/usa/bars/uk/brighton,
Bristol,58 Baldwin Street,Bristol,BS1 1QW,,UK,https://www.brewdog.com/usa/bars/uk/bristol,
Camden,113 Bayham Street,Camden Town,NW1 0AG,London,UK,https://www.brewdog.com/usa/bars/uk/camden,
Cardiff,31 Westgate Street,Cardiff,CF10 1EH,,UK,https://www.brewdog.com/usa/bars/uk/cardiff,
Castlegate,5 Union Street,Aberdeen,AB11 5BU,,UK,https://www.brewdog.com/usa/bars/uk/castlegate,
Calpham Junction,11 Battersea Rise,Battersea,SW11 1HG,London,UK,https://www.brewdog.com/usa/bars/uk/clapham-junction,
Clerkenwell,45 Clerkenwell Road,London,EC1M 5RS,,UK,https://www.brewdog.com/usa/bars/uk/clerkenwell,
DogHouse Merchant City,99 Hutcheson Street,Glasgow,G1 1SN,,UK,https://www.brewdog.com/usa/bars/uk/doghouse-merchant-city,
DogTap,Balmacassie Industrial Estate Ellon,Aberdeenshire,AB41 8BX,,UK,https://www.brewdog.com/usa/bars/uk/dogtap,
Dundee,Panmure St,Dundee,DD1 2BW,,UK,https://www.brewdog.com/usa/bars/uk/dundee,
Edinburgh,143 Cowgate,Edinburgh,EH1 1JS,,UK,https://www.brewdog.com/usa/bars/uk/edinburgh,
Glasgow,1397 Argyle Street,Glasgow,G3 8AN,,UK,https://www.brewdog.com/usa/bars/uk/glasgow,
Leeds,"White Cloth Hall, Crown St",Leeds,LS2 7DA,,UK,https://www.brewdog.com/usa/bars/uk/leeds,
Leicester,8 Friar Lane,Leicester,LE1 5RA,,UK,https://www.brewdog.com/usa/bars/uk/leicester,
Liverpool,8 Colquit Street,Liverpool,L1 4DE,,UK,https://www.brewdog.com/usa/bars/uk/liverpool,
Manchester,35 Peter Street,Manchester,M2 5BG,,UK,https://www.brewdog.com/usa/bars/uk/manchester,
Newcastle,16 Dean Street,Newcastle upon Tyne,NE1 1PG,,UK,https://www.brewdog.com/usa/bars/uk/newcastle,
Norwich,1 Queen Street,Norwich,NR2 4SG,,UK,https://www.brewdog.com/usa/bars/uk/norwich,
Notingham,20 Broad Street,Nottingham,NG1 3AL,,UK,https://www.brewdog.com/usa/bars/uk/nottingham,
Sheffield,108 Devonshire Street,Sheffield,S3 7SF,,UK,https://www.brewdog.com/usa/bars/uk/sheffield,
Shephard’s Bush,15 Goldhawk Road,London,W12 8QQ,,UK,https://www.brewdog.com/usa/bars/uk/shepherds-bush,
Shoreditch,51 Bethnal Green Road,London,E1 6LA,,UK,https://www.brewdog.com/usa/bars/uk/shoreditch,
North Street Leeds,"Crispin House, New York Road",Leeds,LS2 7PF,,UK,https://www.brewdog.com/usa/bars/uk/northstreetleeds,
Stirling,7 Baker Street,Stirling,FK8 1BJ,,UK,https://www.brewdog.com/usa/bars/uk/stirling,
Soho,21 Poland Street,Soho,W1F 8QG,,UK,https://www.brewdog.com/usa/bars/uk/soho,
Southampton,18A Upper Bannister Street,Southampton,SO15 2EF,,UK,https://www.brewdog.com/usa/bars/uk/southampton,
York,130 Micklegate,York,YO1 6JX,,UK,https://www.brewdog.com/usa/bars/uk/york,
Oxford,119 Cowley Road,Oxford,OX4 1HU,,UK,https://www.brewdog.com/usa/bars/uk/oxford,
